time, healthy_population, infected_population, recovered_population, dead_population,
0, 299, 1, 0, 0, 
1, 299, 1, 0, 0, 
2, 299, 1, 0, 0, 
3, 299, 1, 0, 0, 
4, 298, 2, 0, 0, 
5, 297, 3, 0, 0, 
6, 296, 4, 0, 0, 
7, 294, 6, 0, 0, 
8, 292, 8, 0, 0, 
9, 290, 9, 1, 0, 
10, 282, 17, 1, 0, 
11, 276, 23, 1, 0, 
12, 267, 32, 1, 0, 
13, 257, 42, 1, 0, 
14, 245, 52, 3, 0, 
15, 222, 75, 3, 0, 
16, 203, 94, 3, 0, 
17, 183, 112, 5, 0, 
18, 161, 135, 4, 0, 
19, 132, 163, 5, 0, 
20, 109, 182, 9, 0, 
21, 85, 203, 11, 1, 
22, 68, 218, 13, 1, 
23, 49, 231, 19, 1, 
24, 35, 235, 29, 1, 
25, 28, 234, 36, 2, 
26, 21, 237, 40, 2, 
27, 16, 234, 46, 4, 
28, 14, 224, 56, 6, 
29, 8, 223, 62, 7, 
30, 8, 207, 72, 13, 
31, 8, 197, 79, 16, 
32, 5, 177, 89, 29, 
33, 3, 174, 88, 35, 
34, 2, 159, 99, 40, 
35, 1, 148, 105, 46, 
36, 1, 134, 109, 56, 
37, 1, 123, 112, 64, 
38, 1, 107, 117, 75, 
39, 1, 101, 118, 80, 
40, 1, 88, 121, 90, 
41, 1, 78, 125, 96, 
42, 1, 76, 125, 98, 
43, 1, 71, 126, 102, 
44, 1, 66, 127, 106, 
45, 1, 61, 128, 110, 
46, 1, 54, 131, 114, 
47, 1, 52, 132, 115, 
48, 1, 50, 132, 117, 
49, 1, 45, 134, 120, 
50, 1, 40, 133, 126, 
51, 1, 36, 136, 127, 
52, 1, 32, 137, 130, 
53, 1, 27, 139, 133, 
54, 1, 23, 140, 136, 
55, 1, 22, 140, 137, 
56, 1, 19, 141, 139, 
57, 1, 18, 142, 139, 
58, 1, 17, 143, 139, 
59, 1, 16, 144, 139, 
60, 1, 13, 145, 141, 
61, 1, 11, 146, 142, 
62, 1, 10, 146, 143, 
63, 1, 11, 145, 143, 
64, 1, 9, 145, 145, 
65, 1, 7, 146, 146, 
66, 1, 6, 147, 146, 
67, 1, 5, 147, 147, 
68, 1, 7, 145, 147, 
69, 1, 7, 145, 147, 
70, 1, 6, 146, 147, 
71, 1, 6, 146, 147, 
72, 1, 5, 147, 147, 
73, 1, 6, 146, 147, 
74, 1, 5, 146, 148, 
75, 1, 5, 146, 148, 
76, 1, 5, 146, 148, 
77, 1, 4, 147, 148, 
78, 1, 3, 148, 148, 
79, 1, 4, 147, 148, 
80, 1, 4, 147, 148, 
81, 1, 2, 149, 148, 
82, 1, 2, 149, 148, 
83, 1, 2, 149, 148, 
84, 1, 1, 149, 149, 
85, 1, 1, 149, 149, 
86, 1, 1, 149, 149, 
87, 1, 1, 149, 149, 
88, 1, 1, 149, 149, 
89, 1, 1, 149, 149, 
90, 1, 0, 150, 149, 
91, 1, 0, 150, 149, 
92, 1, 0, 150, 149, 
93, 1, 0, 150, 149, 
94, 1, 0, 150, 149, 
95, 1, 0, 150, 149, 
96, 1, 0, 150, 149, 
97, 1, 0, 150, 149, 
98, 1, 0, 150, 149, 
99, 1, 0, 150, 149, 
